BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ENERGYSTARScore,SteamUse(kBtu),TotalGHGEmissions,BuildingAge
NonResidential,Hotel,98101.0,7,DOWNTOWN,47.6122,-122.33799,12,88434,0,60.0,2003882.0,249.98,89
NonResidential,Hotel,98101.0,7,DOWNTOWN,47.61317,-122.33393,11,103566,15064,61.0,0.0,295.86,20
NonResidential,Hotel,98101.0,7,DOWNTOWN,47.61393,-122.3381,41,956110,196718,43.0,21566554.0,2089.28,47
NonResidential,Hotel,98101.0,7,DOWNTOWN,47.61412,-122.33664,10,61320,0,56.0,2214446.25,286.43,90
NonResidential,Hotel,98121.0,7,DOWNTOWN,47.61375,-122.34047,18,175580,62000,75.0,0.0,505.01,36
Nonresidential COS,Other,98101.0,7,DOWNTOWN,47.61623,-122.33657,2,97288,37198,,0.0,301.81,17
NonResidential,Hotel,98101.0,7,DOWNTOWN,47.6139,-122.33283,11,83008,0,27.0,0.0,176.14,90
NonResidential,Other,98101.0,7,DOWNTOWN,47.61327,-122.33136,8,102761,0,,2276286.5,221.51,90
NonResidential,Hotel,98104.0,7,DOWNTOWN,47.60294,-122.33263,15,163984,0,43.0,0.0,392.16,112
NonResidential,Hotel,98101.0,7,DOWNTOWN,47.60695,-122.33414,11,153163,19279,30.0,5237165.5,691.26,47
NonResidential,Hotel,98101.0,7,DOWNTOWN,47.60713,-122.33323,25,333176,61161,36.0,5999360.5,740.97,18
NonResidential,Hotel,98104.0,7,DOWNTOWN,47.60699,-122.33346,9,65009,0,48.0,1656352.5,328.23,88
NonResidential,Hotel,98101.0,7,DOWNTOWN,47.60809,-122.33212,33,315952,57600,58.0,4337738.5,648.62,36
NonResidential,Hotel,98101.0,7,DOWNTOWN,47.60755,-122.33244,11,92190,25200,35.0,4870847.5,511.39,94
Nonresidential COS,Other,98154.0,7,DOWNTOWN,47.60649,-122.33297,11,412000,57000,,737559.5,181.38,12
NonResidential,Other,98104.0,7,DOWNTOWN,47.60546,-122.33279,6,103911,0,,4592347.5,433.86,86
NonResidential,Hotel,98104.0,7,DOWNTOWN,47.60681,-122.33078,28,416281,85000,31.0,0.0,802.89,33
NonResidential,Mixed Use Property,98104.0,7,DOWNTOWN,47.60515,-122.33159,5,57452,0,,1776201.875,273.02,109
NonResidential,Hotel,98104.0,7,DOWNTOWN,47.60376,-122.33194,10,104352,0,39.0,3430862.0,349.32,100
NonResidential,Other,98104.0,7,DOWNTOWN,47.60265,-122.33051,10,540360,0,76.0,0.0,1265.29,100
NonResidential,Other,98104.0,3,DOWNTOWN,47.60378,-122.32842,19,385274,0,,0.0,1699.45,31
